מחוז,רשות,אשכול,סמל,מודל,שם מוסד,סוג חינוך,סוג מוסד,מחיר,כמות ילדים ,ת. הרשמה ,ת. התחלה,ת.סיום
מרכז,ביתר עילית ,3,732537,1,משנת יהודה ,רגיל ,גן ,500,34,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,514349,12,אוצר החיים בנות ,מיוחד,"בי""ס יוח""א ",0,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,514349,5,אוצר החיים בנות ,רגיל ,"בי""ס יוח""א ",0,61,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,514109,12,אור דוד ,מיוחד,"בי""ס יוח""א ",0,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,514109,5,אור דוד ,רגיל ,"בי""ס יוח""א ",0,58,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,514570,5,אוהלי אברהם ,רגיל ,"בי""ס יוח""א ",0,66,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,547596,1,אוהלי אברהם ,רגיל ,גן ,500,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,547612,1,אוהלי אברהם ,רגיל ,גן ,500,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,547620,1,אוהלי אברהם ,רגיל ,גן ,500,34,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,547638,1,אוהלי אברהם ,רגיל ,גן ,500,34,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,514562,2,איש מצליח,רגיל ,"בי""ס ",500,38,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,716092,1,כינור דוד ,רגיל ,גן ,500,26,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,514455,2,כינור דוד ,רגיל ,"בי""ס ",500,38,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,547604,1,אוהלי אברהם ,רגיל ,גן ,500,26,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,729491,1,אוצר החיים,רגיל ,גן ,500,25,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,311746,1,אוצר החיים ,רגיל ,גן ,500,24,29/07/2018,01/09/2018,30/06/2019
מרכז,בני ברק ,3,719534,1,כינור דוד ,רגיל ,גן ,500,27,29/07/2018,01/09/2018,30/06/2019
